*
*                                  Adjustment EPFL Hydro UAV-Nex5
*
 
*   <___Photo_No.__><___Easting__><__Northing__><__Height_><___Phi__><__Omega_><__Kappa_><___Camera_No._>
 
CORD            2041    313405.914   5154836.422    446.813  0.035  0.037  0.044   +2
CORD            2050    313407.631   5154833.709    446.430  0.032  0.032  0.034   +6
CORD            2054    313407.594   5154832.303    446.424  0.034  0.034  0.034   +5
CORD            2057    313407.571   5154831.170    446.439  0.037  0.036  0.035   +4
CORD            2059    313407.540   5154833.699    446.542  0.032  0.032  0.034  +16
CORD            2060    313405.809   5154835.151    446.955  0.034  0.036  0.043   +3
CORD            2062    313404.633   5154836.457    446.948  0.038  0.041  0.049   +2
CORD            2064    313413.335   5154831.037    446.790  0.038  0.035  0.029  +13
CORD            2066    313407.656   5154834.917    446.405  0.032  0.032  0.035   +6
CORD            2067    313407.479   5154831.164    446.551  0.037  0.036  0.035  +10
CORD            2069    313407.505   5154832.307    446.549  0.034  0.034  0.034  +14
CORD            2074    313410.950   5154829.416    446.788  0.040  0.036  0.032   +6
CORD            2077    313409.755   5154830.436    446.773  0.037  0.034  0.031  +14
CORD            2079    313411.702   5154830.403    446.782  0.038  0.034  0.029  +15
CORD            2080    313409.295   5154835.970    446.539  0.030  0.028  0.031  +24
CORD            2082    313410.835   5154833.222    445.600  0.035  0.032  0.026  +35
CORD            2085    313410.346   5154836.621    446.548  0.031  0.028  0.030  +24
CORD            2086    313406.436   5154829.481    446.792  0.043  0.042  0.040   +3
CORD            2087    313414.331   5154832.871    445.593  0.041  0.037  0.027  +19
CORD            2088    313408.494   5154833.131    445.620  0.035  0.034  0.032  +28
CORD            2089    313414.837   5154837.406    445.584  0.043  0.039  0.029  +12
CORD            2090    313412.181   5154837.749    445.590  0.039  0.034  0.029  +23
CORD            2093    313406.835   5154833.025    446.553  0.034  0.035  0.037  +12
CORD            2095    313412.031   5154835.903    446.559  0.032  0.028  0.026  +26
CORD            2099    313405.766   5154833.198    446.970  0.035  0.037  0.041   +4
CORD            2100    313411.095   5154839.787    445.592  0.043  0.038  0.036  +13
CORD            2102    313411.736   5154834.787    445.587  0.035  0.031  0.025  +33
CORD            2103    313412.300   5154831.030    446.787  0.036  0.033  0.028  +16
CORD            2104    313408.456   5154836.671    446.548  0.032  0.030  0.035  +17
CORD            2105    313406.999   5154836.079    446.548  0.033  0.034  0.039  +13
