584                     N5
2088 2.24301 -1.81305
2069 6.53221 -2.25707
2085 -8.96249 -5.13311
2059 3.47676 -5.19847
2093 6.49899 -5.33028
S2031 -10.9573 -5.51393
2080 -5.34508 -6.12519
-99
583
2119 0.012375 7.04204
2112 -2.51484 6.73237
2008 -10.1803 5.51243
2087 3.9969 5.34038
2026 -6.69191 4.96078
2122 -5.64969 4.58152
2123 5.98938 4.56907
2005 -0.318986 4.23316
2064 9.17343 3.72281
2110 3.44613 3.59169
2090 -7.0682 2.71128
2024 -10.4918 2.59811
2095 -3.76541 2.41219
2108 5.79035 1.33678
2103 8.97647 1.12673
2116 1.77033 0.875277
2102 -0.980457 0.720503
2079 10.5678 -0.729034
2085 -6.49274 -1.48906
2082 2.17678 -1.88067
2029 -1.65656 -1.9686
2010 6.21484 -2.73035
2023 -10.558 -3.95806
2080 -5.44849 -4.59806
2120 1.72414 -4.62346
2117 -10.3204 -5.35527
2077 10.1354 -6.23896
2104 -7.83207 -6.58364
2001 4.98323 -7.49119
2088 1.53679 -7.52135
-99
580
2085 -2.9994 7.04673
2102 1.89948 6.72984
2116 4.3014 6.13948
2108 7.98989 5.4523
2103 10.996 5.42543
2023 -7.14505 5.41329
2125 -10.5278 4.89377
2029 0.624284 4.74785
2080 -2.90463 4.38276
2117 -7.24774 4.28106
2082 3.89819 3.80581
2104 -5.25128 3.46192
2007 -11.0913 2.52669
2010 7.14917 2.00112
2018 -7.34296 1.75911
2120 2.77168 1.7362
2127 -10.4854 0.79855
2020 -2.11636 0.520638
2033 -3.90252 0.383816
2105 -5.79856 -0.133174
2088 1.84065 -0.496863
2077 9.60881 -0.71874
2001 4.74369 -1.43185
2059 -0.241029 -1.72158
2069 2.72927 -3.44119
2060 -5.69913 -3.85872
2093 0.388377 -4.05459
2067 5.22184 -4.86775
2062 -10.0792 -4.91015
2099 -1.35622 -6.52256
-99
563
2001 3.16584 7.18707
2010 -1.38392 6.79225
2093 9.44145 6.53991
2108 -5.0654 5.12051
2059 8.07004 4.42444
2088 4.53504 4.37594
2050 7.69738 4.23551
2123 -8.44365 4.17771
2120 1.98497 3.56761
2082 -0.675579 3.00343
2110 -6.53241 2.13744
2087 -8.59319 1.98885
2116 -3.16679 1.59762
2066 8.48863 1.15625
2020 6.72931 0.406686
2033 9.33385 -0.21655
2029 0.914478 -0.525109
2102 -1.96341 -0.992787
2105 11.4465 -1.51397
2005 -5.85082 -1.85965
2080 5.05961 -2.62405
2119 -9.12059 -2.82737
2104 7.86952 -4.06627
2016 -6.816 -4.07045
2095 -2.48596 -4.13877
2085 2.6181 -5.11937
2018 10.1315 -5.41434
2122 -4.06674 -7.34101
-99
551
2085 6.78855 6.4429
2029 -0.355956 5.09264
2082 -5.84144 4.71456
